Topic,Count,Name,Representation
-1,664,-1_group_board_year_financial,"['group', 'board', 'year', 'financial', 'business', 'report', 'committee', 'profit', 'uk', 'statements']"
0,534,0_remuneration_performance_executive_committee,"['remuneration', 'performance', 'executive', 'committee', 'bonus', 'salary', 'directors', 'executive directors', 'awards', 'pay']"
1,162,1_impairment_assets_million_value,"['impairment', 'assets', 'million', 'value', 'group', 'assumptions', 'acquisition', 'goodwill', 'period', 'cash']"
2,143,2_company_shares_resolution_authority,"['company', 'shares', 'resolution', 'authority', 'ordinary', 'agm', 'directors', 'share', 'ordinary shares', 'securities']"
3,135,3_hedging_hedge_foreign_currency,"['hedging', 'hedge', 'foreign', 'currency', 'hedged', 'fair value', 'fair', 'rate', 'value', 'hedges']"
4,107,4_lease_leases_right use_payments,"['lease', 'leases', 'right use', 'payments', 'asset', 'right', 'lease liability', 'use', 'lease payments', 'liability']"
5,100,5_sales_online_margin_jan,"['sales', 'online', 'margin', 'jan', 'year', 'growth', 'price sales', 'customers', 'costs', 'total']"
6,100,6_stores_jd_sports_fashion,"['stores', 'jd', 'sports', 'fashion', 'sports fashion', 'store', 'million', 'group', 'period', 'new']"
7,96,7_risk_risks_internal_committee,"['risk', 'risks', 'internal', 'committee', 'management', 'business', 'controls', 'audit', 'risk management', 'internal audit']"
8,83,8_tax_deferred tax_deferred_income,"['tax', 'deferred tax', 'deferred', 'income', 'share', 'recognised', 'shares', 'assets', 'ordinary', 'taxable']"
9,81,9_board_committee_executive_directors,"['board', 'committee', 'executive', 'directors', 'non executive', 'meetings', 'director', 'chairman', 'non', 'senior']"
10,79,10_climate_risks_climate related_risk,"['climate', 'risks', 'climate related', 'risk', 'related', 'related risks', 'emissions', 'esg', 'opportunities', 'scenario']"
11,77,11_risk_business_impact_supply,"['risk', 'business', 'impact', 'supply', 'group', 'risks', 'supply chain', 'chain', 'mitigating', 'covid']"
12,72,12_suppliers_supply_workers_factories,"['suppliers', 'supply', 'workers', 'factories', 'chain', 'supply chain', 'ethical', 'human', 'rights', 'human rights']"
